Length,Aft_offset,Nose_radius,Height,Width,Max_width_pos,Bottom_tan,Drag,Side_force
1.189416862,0.0523013725,0.5322772711,1.063546948,1.046894084,-0.2495948137,0.9910167804,42.3358,-928.455
1.340422176,-0.0294842354,0.5153983192,0.8673631994,1.015143518,-0.2997785004,0.9021556336,35.5255,-968.189
1.551375845,-0.0134981761,0.6710498976,0.9024375871,1.061430423,-0.1335664357,0.8469927535,29.8005,-951.233
1.227471044,-0.0038675576,0.6504459079,0.9858330593,0.9355047456,-0.2690097541,0.8606223777,29.6086,-915.366
1.195069099,-0.0306879484,0.5810728599,0.9395887687,1.033644747,-0.3240871397,0.7042875038,32.2158,-931.645
1.526673539,0.0596330283,0.5138583669,0.832876572,0.8812959765,-0.4453441132,1.1906196,51.1643,-941.805
1.446549368,-0.0118522066,0.6458214953,1.140740171,1.040298724,-0.4926036696,0.5279610766,29.7258,-952.847
1.593161433,-0.0055789321,0.5375296657,1.027705982,1.037311701,-0.1958671725,1.092093321,34.644,-970.879
9.202020559,9.0041723069,0.5674044855,1.196071726,1.052414528,-0.0756873003,0.502205865,30.6537,-926.003
10.549574094,11.0113835142,0.5437981054,1.140998106,0.9160317138,-0.0834447012,1.017080687,29.1001,-977.608
11.134659613,10.043987895,0.6938572249,0.858567185,1.100718961,-0.4650835193,0.8375878729,37.2307,-911.527
