my_id,Length,Aft_offset,Nose_radius,Height,Width,Max_width_pos,Bottom_tan,Drag,Side_force
1,1.189416862,0.0523013725,0.5322772711,1.063546948,1.046894084,-0.2495948137,0.9910167804,42.3358,-928.455
2,1.340422176,-0.0294842354,0.5153983192,0.8673631994,1.015143518,-0.2997785004,0.9021556336,35.5255,-968.189
3,1.551375845,-0.0134981761,0.6710498976,0.9024375871,1.061430423,-0.1335664357,0.8469927535,29.8005,-951.233
4,1.227471044,-0.0038675576,0.6504459079,0.9858330593,0.9355047456,-0.2690097541,0.8606223777,29.6086,-915.366
5,1.195069099,-0.0306879484,0.5810728599,0.9395887687,1.033644747,-0.3240871397,0.7042875038,32.2158,-931.645
6,1.526673539,0.0596330283,0.5138583669,0.832876572,0.8812959765,-0.4453441132,1.1906196,51.1643,-941.805
7,1.446549368,-0.0118522066,0.6458214953,1.140740171,1.040298724,-0.4926036696,0.5279610766,29.7258,-952.847
8,1.593161433,-0.0055789321,0.5375296657,1.027705982,1.037311701,-0.1958671725,1.092093321,34.644,-970.879
9,1.202020559,0.0041723069,0.5674044855,1.196071726,1.052414528,-0.0756873003,0.502205865,30.6537,-926.003
10,1.549574094,-0.0113835142,0.5437981054,1.140998106,0.9160317138,-0.0834447012,1.017080687,29.1001,-977.608
11,1.134659613,0.043987895,0.6938572249,0.858567185,1.100718961,-0.4650835193,0.8375878729,37.2307,-911.527
12,1.470272107,0.0056100679,0.616442557,1.084346832,0.9553037861,-0.4631763875,0.7800924242,33.5579,-969.05
13,1.396769359,0.0198886778,0.5835959273,0.8422319341,1.067403282,-0.2029488648,0.5698314046,34.275,-933.548
14,1.557772264,0.0332866549,0.535782077,1.186677086,1.079410469,-0.4763544984,0.5106315874,36.9649,-938.71
15,1.538302728,0.0477819928,0.5211749356,0.8743698729,0.8450996262,-0.1808615585,0.9958398514,39.1668,-938.036
16,1.322273235,0.0582665285,0.6445222069,0.9972362732,1.153721988,-0.2943468992,0.5643704346,42.2383,-923.195
17,1.264282218,0.008962192,0.6272179596,1.085641261,0.8145695661,-0.1462618109,0.6145780922,31.0208,-912.538
18,1.390466061,-0.0267514202,0.6758884276,1.198590659,0.8009841157,-0.4167061121,0.899818555,29.9036,-947.58
19,1.370493231,0.0336304123,0.6532714693,1.047036767,1.007374684,-0.4002723866,0.6116616203,34.1424,-934.327
20,1.477592887,0.0037671393,0.5783718491,0.8974928974,1.062778892,-0.330841346,0.5733760485,28.6649,-939.815
21,1.490626101,-0.034644708,0.612956138,0.8343266545,0.9591916132,-0.1755212314,1.104743853,31.273,-959.529
22,1.291201474,0.0301127908,0.6823205557,1.010934028,1.035204569,-0.4801252957,0.5166682024,32.8314,-920.667
23,1.369235856,-0.0550323072,0.5741962164,0.8861832691,0.8070603503,-0.1620638644,1.153135064,36.3082,-963.365
24,1.124043792,0.0251484543,0.5617133383,0.9293093436,0.9747853119,-0.2351657348,1.129303922,34.726,-920.701
25,1.524955255,-0.044772454,0.6407657058,1.092465085,0.8232761265,-0.4110649295,0.6350855439,32.4344,-970.152
