id	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	ofn1	ofn2	ofn3
1	0.09	0.152	0.654	0.413	0.875	0.588	0.271	0.383	0.158	5.23	26.3	-0.223	39.7	88.6	279
2	0.239	0.322	0.712	0.686	0.244	0.00205	0.222	0.371	0.335	8.4	27.8	-10.9	43	134	418
3	0.624	0.585	0.301	0.414	0.382	0.749	0.311	0.206	0.286	1.15	38.7	-2.17	48.4	207	696
4	0.0043	0.288	0.568	0.344	0.191	0.763	0.362	0.213	0.332	1.14	25.8	-9.74	47.9	133	406
5	0.308	0.151	0.711	0.0875	0.324	0.731	0.368	0.214	0.189	3.17	35.9	-8.13	42.2	128	313
6	0.218	0.369	0.551	0.482	0.61	0.578	0.287	0.349	0.202	2.26	0.838	1.61	48	11.4	555
7	0.784	0.222	0.0481	0.776	0.41	0.626	0.29	0.367	0.115	5.04	11.2	-2.24	47.2	45.6	575
8	0.75	0.531	0.198	0.618	0.446	0.327	0.278	0.238	0.374	6.49	32.7	1.72	48.4	188	708
9	0.785	0.639	0.242	0.103	0.859	0.732	0.339	0.208	0.116	5.1	1.72	0.89	53	59.5	966
10	0.339	0.568	0.296	0.118	0.084	0.0778	0.223	0.294	0.227	0.494	19.4	-1.33	42.9	66.1	460
11	0.404	0.571	0.409	0.15	0.216	0.0126	0.24	0.305	0.258	1.15	37.9	-5.34	43.2	146	510
12	0.197	0.00319	0.469	0.174	0.211	0.925	0.286	0.238	0.312	2.89	23.4	0.541	41.2	55.8	168
13	0.278	0.186	0.00412	0.0745	0.158	0.841	0.342	0.3	0.209	1.32	1.29	-11.8	44.5	-0.091	237
14	0.595	0.0504	0.205	0.127	0.883	0.114	0.227	0.372	0.255	2.97	22.8	-14.3	40.3	18.8	267
15	0.395	0.457	0.264	0.866	0.847	0.036	0.302	0.28	0.141	0.604	5.17	2.78	47.2	25	704
16	0.266	0.131	0.136	0.0324	0.397	0.113	0.381	0.217	0.382	9.1	35.9	0.000451	43.3	79	223
17	0.67	0.683	0.17	0.849	0.587	0.0972	0.268	0.321	0.206	3.3	17.7	-14.7	51.6	112	904
18	0.667	0.754	0.24	0.525	0.184	0.747	0.269	0.203	0.333	3.43	18.6	-7.3	52.7	123	761
19	0.168	0.011	0.226	0.966	0.54	0.915	0.231	0.351	0.206	9.32	15.1	-5.82	37.2	26.1	134
20	0.49	0.353	0.382	0.615	0.449	0.0367	0.246	0.275	0.287	5.34	3.1	-0.769	45	36.3	517
21	0.591	0.726	0.566	0.498	0.472	0.733	0.33	0.203	0.186	8.75	12.7	-1.01	57	180	976
22	0.203	0.141	0.598	0.931	0.911	0.178	0.396	0.366	0.151	5.15	24.9	-12.4	46.1	85.1	359
23	0.133	0.677	0.444	0.404	0.95	0.288	0.384	0.268	0.103	6.66	10.5	-2.81	54.7	134	911
24	0.187	0.358	0.661	0.553	0.198	0.193	0.375	0.276	0.262	4.29	27.4	-14.2	49.3	144	504
25	0.324	0.126	0.373	0.355	0.296	0.0798	0.379	0.399	0.328	2.53	25.9	-12.8	48.2	60.8	334
26	0.0349	0.185	0.301	0.804	0.0159	0.849	0.25	0.355	0.152	5.3	37.1	-1.9	36.6	70.4	166
27	0.563	0.752	0.123	0.64	0.209	0.894	0.276	0.224	0.389	5.2	15.9	-9.99	52.8	113	741
28	0.089	0.439	0.104	0.957	0.936	0.735	0.348	0.341	0.358	6.23	37.3	-11.7	48.7	189	535
29	0.57	0.0439	0.0985	0.848	0.0999	0.999	0.295	0.395	0.301	8.32	22.8	-11	45.6	50.5	362
30	0.755	0.0304	0.8	0.637	0.653	0.755	0.349	0.376	0.246	1.46	31.2	-7.18	51.5	96.5	538
31	0.391	0.401	0.25	0.0125	0.75	0.344	0.204	0.285	0.369	3.96	13.8	1.37	42.2	65.1	468
32	0.0937	0.679	0.225	0.299	0.977	0.474	0.204	0.384	0.184	3.25	34.8	-0.596	39.8	161	493
33	0.741	0.0165	0.461	0.517	0.154	0.751	0.274	0.281	0.396	1.42	35.1	-13.5	43.7	74.3	375
34	0.388	0.406	0.416	0.488	0.774	0.448	0.214	0.396	0.25	9.31	24.6	-0.981	42.3	154	575
35	0.614	0.0817	0.256	0.542	0.193	0.879	0.236	0.352	0.186	3.06	28.4	-4.97	39.8	34.6	344
36	0.0772	0.69	0.744	0.514	0.0633	0.151	0.365	0.359	0.299	7.85	31	-12.6	62.7	257	713
37	0.676	0.299	0.592	0.0394	0.545	0.0498	0.243	0.335	0.289	0.214	8.23	-0.521	49	27.5	552
38	0.0385	0.166	0.376	0.775	0.574	0.392	0.269	0.202	0.298	7.8	2.35	-1.51	41.4	17.4	249
39	0.347	0.647	0.507	0.0442	0.993	0.39	0.272	0.39	0.294	2.49	23.7	-10.3	49.8	155	741
40	0.297	0.154	0.33	0.591	0.171	0.457	0.203	0.386	0.112	8.73	12	-10.7	35.8	41.4	262
41	0.289	0.145	0.00266	0.953	0.861	0.323	0.223	0.378	0.188	6.86	11.8	-11.1	37.5	28.3	252
42	0.322	0.0363	0.434	0.404	0.902	0.0106	0.377	0.301	0.388	4.09	13.7	-7.79	48.8	34.5	261
43	0.171	0.573	0.491	0.202	0.707	0.895	0.363	0.342	0.193	7.54	20.2	-11.9	55.6	201	845
44	0.117	0.466	0.179	0.589	0.909	0.904	0.309	0.319	0.281	3.4	29.2	-2.29	47	155	562
45	0.714	0.227	0.615	0.486	0.316	0.783	0.249	0.248	0.314	3.56	25.6	-6.27	43.5	123	525
46	0.285	0.143	0.464	0.564	0.3	0.729	0.214	0.275	0.276	8.34	7.06	1.09	40.6	41.2	319
47	0.412	0.0546	0.0694	0.519	0.786	0.319	0.288	0.278	0.123	5.16	22.1	3.03	37.6	24.8	211
48	0.056	0.176	0.387	0.0705	0.923	0.159	0.266	0.319	0.394	5.72	23.8	-12.2	41.8	74.7	261
49	0.0986	0.675	0.411	0.899	0.644	0.892	0.311	0.362	0.204	8.61	12.6	-13.2	53.5	150	837
50	0.0347	0.264	0.74	0.00239	0.693	0.434	0.209	0.251	0.386	5.4	29.6	0.753	43.5	159	353
51	0.455	0.664	0.018	0.345	0.273	0.139	0.204	0.254	0.307	5.63	37	1.05	41.4	144	498
52	0.323	0.596	0.472	0.304	0.244	0.176	0.207	0.248	0.368	6.65	35.3	4.44	43	184	482
53	0.644	0.00863	0.151	0.173	0.969	0.396	0.235	0.23	0.178	2.34	9.27	-12.9	37.6	4.71	181
54	0.776	0.479	0.582	0.375	0.593	0.425	0.341	0.287	0.208	6.16	34.9	-13.9	51.8	241	826
55	0.673	0.552	0.521	0.662	0.077	0.339	0.219	0.221	0.149	4.52	29.4	-8.2	41	125	556
56	0.175	0.156	0.0625	0.257	0.869	0.156	0.375	0.394	0.284	4.27	32.1	-10.8	46	69.6	286
57	0.194	0.639	0.383	0.341	0.791	0.654	0.366	0.218	0.292	4.47	2.27	2.04	60	57.7	972
58	0.782	0.729	0.0437	0.711	0.163	0.516	0.267	0.309	0.283	2.55	38.6	2.16	54	166	801
59	0.43	0.506	0.54	0.962	0.713	0.472	0.371	0.286	0.215	1.48	13.9	1.7	55.1	109	895
60	0.497	0.34	0.749	0.982	0.512	0.655	0.238	0.222	0.107	3.91	2.8	-1.19	39.8	27.3	486
61	0.336	0.702	0.577	0.797	0.582	0.154	0.323	0.259	0.261	5.26	20.4	0.189	58.1	204	936
62	0.754	0.585	0.283	0.238	0.547	0.776	0.271	0.37	0.323	3.56	2.46	-4.21	56.5	36.7	883
63	0.419	0.501	0.755	0.3	0.85	0.57	0.273	0.391	0.343	5.12	24.2	-3.12	54.8	219	841
64	0.26	0.421	0.341	0.159	0.958	0.417	0.333	0.221	0.386	8.18	13.9	-6.97	48.5	116	606
