eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
1.00E+000,4.87E-001,1.43E-001,5.90E-001,7.99E-001,8.64E-001,6.29E-001,2.08E-001,2.28E-001,2.58E-001,7.49E+000,3.88E+001,-1.34E+001,35.2251,122.277,339.623
2.00E+000,2.85E-001,1.43E-001,6.49E-001,6.33E-002,8.88E-001,9.87E-001,3.09E-001,2.24E-001,1.66E-001,1.32E+000,9.31E-001,-4.96E-001,42.1183,4.13759,309.449
3.00E+000,3.49E-001,5.40E-001,1.93E-001,4.72E-001,6.07E-002,3.80E-001,2.60E-001,2.02E-001,1.47E-001,6.05E+000,2.95E+000,-4.68E+000,41.7185,37.3891,467.299
4.00E+000,3.07E-001,4.09E-001,5.77E-001,1.81E-002,1.97E-001,2.30E-001,3.44E-001,2.36E-001,2.02E-001,3.21E+000,3.34E+001,-1.17E+001,45.6606,155.98,484.209
5.00E+000,6.53E-001,1.56E-002,5.53E-001,9.93E-002,6.88E-001,2.09E-001,3.05E-001,3.46E-001,1.50E-001,8.64E+000,1.12E-001,-6.07E+000,45.3468,30.2206,291.584
6.00E+000,3.09E-001,7.93E-001,3.16E-001,4.10E-001,9.95E-001,2.74E-001,3.26E-001,2.82E-001,1.88E-001,3.95E+000,6.59E+000,-2.71E+000,55.0919,79.864,930.964
7.00E+000,5.56E-001,8.43E-002,1.90E-001,4.49E-001,5.16E-001,8.31E-002,3.60E-001,3.93E-001,3.36E-001,2.98E+000,1.08E+001,-1.42E+001,50.0496,18.9848,377.146
8.00E+000,4.96E-001,4.35E-001,7.76E-001,1.34E-001,1.06E-001,2.60E-001,3.33E-001,3.25E-001,3.24E-001,6.68E+000,2.28E+001,-1.10E+001,55.0052,165.769,662.93
9.00E+000,2.96E-001,2.15E-001,7.09E-001,6.47E-001,7.49E-001,9.16E-001,2.94E-001,2.35E-001,1.48E-001,4.72E+000,3.92E+001,-1.08E+001,38.3348,147.341,379.616
1.00E+001,2.51E-001,4.39E-001,1.25E-001,4.69E-001,3.20E-001,4.70E-001,3.11E-001,2.49E-001,2.19E-001,7.92E-001,2.78E+001,-9.54E+000,43.116,95.6806,465.648
1.10E+001,5.95E-001,6.79E-001,7.99E-001,2.01E-002,3.49E-001,6.14E-001,3.53E-001,3.30E-001,3.27E-001,4.53E+000,1.83E+001,4.35E+000,70.1075,213.154,1045.07
1.20E+001,3.88E-001,7.06E-001,4.38E-001,9.76E-001,5.39E-002,4.23E-001,2.67E-001,2.36E-001,1.32E-001,5.95E+000,1.33E+001,-2.12E-001,47.6194,100.958,638.259
1.30E+001,5.96E-003,7.69E-001,2.05E-001,5.01E-001,7.48E-002,1.30E-001,2.64E-001,3.68E-001,2.73E-001,1.09E+000,3.01E+001,-1.47E+001,49.4519,130.579,506.702
1.40E+001,7.99E-001,7.83E-001,5.05E-001,7.13E-001,9.20E-001,7.80E-001,2.69E-001,2.96E-001,2.63E-001,7.35E+000,3.85E+001,2.64E-001,56.1897,364.109,1070.83
1.50E+001,7.67E-001,7.71E-002,6.40E-001,2.99E-001,9.00E-001,5.05E-001,2.32E-001,3.38E-001,1.04E-001,2.48E+000,7.72E+000,4.71E+000,41.2355,17.0442,394.664
1.60E+001,1.62E-001,1.13E-001,7.57E-001,6.23E-001,8.15E-001,4.12E-001,2.88E-001,3.13E-001,3.85E-001,4.56E+000,3.30E+001,-7.41E+000,45.9335,142.335,332.78
1.70E+001,7.58E-001,4.10E-001,2.61E-001,6.05E-001,4.02E-001,1.21E-001,3.23E-001,3.00E-001,3.33E-001,2.43E+000,1.31E+000,-9.38E+000,53.9735,16.6412,728.683
1.80E+001,8.44E-002,1.43E-002,3.71E-001,2.27E-001,6.74E-001,4.19E-001,2.71E-001,3.81E-001,1.58E-001,1.69E+000,2.73E+001,1.21E+000,37.3974,24.3255,90.6077
1.90E+001,1.97E-001,4.67E-001,8.22E-002,6.28E-001,8.52E-001,4.51E-001,3.86E-001,3.48E-001,1.81E-001,6.69E+000,3.20E+001,-9.16E+000,50.7458,214.856,706.991
2.00E+001,4.68E-001,2.85E-001,6.05E-001,1.40E-001,3.36E-001,3.92E-002,2.05E-001,2.10E-001,3.48E-001,6.24E+000,2.31E+001,-7.67E+000,39.385,98.4084,377.096
2.10E+001,5.13E-002,5.04E-001,2.91E-001,7.21E-001,9.17E-001,3.74E-001,3.95E-001,2.58E-001,2.68E-001,3.11E+000,3.99E+001,3.55E+000,50.864,255.821,653.705
2.20E+001,4.17E-001,3.16E-002,7.41E-002,5.75E-001,1.98E-001,7.97E-002,2.04E-001,3.14E-001,1.00E-001,6.46E+000,2.15E+001,-8.12E+000,34.1167,16.9395,187.958
2.30E+001,6.06E-001,3.55E-002,5.30E-001,4.16E-001,5.92E-001,6.61E-001,3.19E-001,3.04E-001,3.81E-001,8.68E+000,2.85E+001,2.81E-001,47.8483,118.376,393.661
