,eval_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,obj_fn_1,obj_fn_2,nln_ineq_con_1
,1.00E+000,4.28E-003,7.22E-001,4.52E-001,1.31E-002,2.38E-001,2.57E-001,2.62E-001,2.85E-001,2.86E-001,5.06E+000,5.22E+000,-4.303593854,53.1885,52.6929,612.375
,2.00E+000,5.91E-003,4.12E-001,3.13E-001,8.21E-001,3.95E-001,1.90E-001,2.71E-001,2.02E-001,3.21E-001,7.28E+000,9.41E-001,-5.470860028,44.0219,24.0207,404.771
,3.00E+000,3.55E-002,1.30E-001,8.00E-001,3.67E-001,4.55E-002,5.67E-002,3.52E-001,3.17E-001,2.91E-001,3.01E+000,3.87E+001,1.325308381,46.4216,116.483,210.81
,4.00E+000,3.89E-002,4.59E-001,4.66E-002,4.88E-001,4.82E-001,7.84E-001,3.67E-001,2.38E-001,1.50E-001,1.86E-001,2.43E+001,-14.57424487,46.1592,102.447,524.153
,5.00E+000,4.96E-002,2.30E-001,7.66E-001,7.21E-001,9.11E-001,7.88E-001,3.12E-001,2.44E-001,1.69E-001,4.41E+000,3.86E+001,-1.028856033,40.0211,164.669,337.703
,6.00E+000,4.99E-002,6.83E-001,3.63E-001,3.95E-001,8.57E-001,8.89E-001,2.71E-001,3.44E-001,2.49E-001,4.75E+000,3.47E+001,-5.310547264,49.2065,255.513,704.036
,7.00E+000,6.55E-002,1.48E-001,6.19E-002,9.13E-001,3.92E-001,4.08E-002,3.20E-001,2.72E-001,1.36E-001,8.87E+000,3.93E+001,-2.419887319,37.0421,68.788,173.725
,8.00E+000,7.58E-002,4.37E-001,7.11E-001,5.35E-001,1.20E-001,3.32E-001,3.88E-001,3.74E-001,2.35E-001,9.63E+000,3.65E+001,-12.400656,53.1296,231.281,518.229
,9.00E+000,8.17E-002,1.74E-001,6.93E-001,5.99E-001,6.93E-001,7.33E-001,2.17E-001,3.57E-001,1.84E-001,9.72E+000,1.29E+001,-7.031522967,39.8175,66.986,314.934
,1.00E+001,8.72E-002,4.69E-001,6.56E-001,9.21E-001,1.04E-002,5.18E-001,3.65E-001,2.51E-001,2.97E-001,1.58E+000,3.12E+001,-5.498144287,51.8707,182.818,537.821
,1.10E+001,9.56E-002,5.35E-001,3.58E-001,2.92E-001,2.63E-001,6.75E-001,3.54E-001,3.77E-001,2.64E-001,4.29E-002,6.80E+000,2.689950409,55.32,36.1286,633.2
