dv1,dv2,of1,of2,of3
3.95E+000,1.63E+000,0.44242,0.0055127,0.0666262
7.11E+000,3.44E+000,0.860229,0.00615626,0.174343
6.90E+000,1.78E+000,0.782869,0.0089705,0.122455
7.79E+000,3.82E+000,0.960738,0.00650422,0.203037
1.25E+000,3.28E+000,0.158067,0.00373114,0.031634
5.63E+000,2.11E+000,0.643855,0.00648422,0.107407
6.64E+000,2.33E+000,0.762737,0.00699037,0.132135
3.96E+000,1.41E+000,0.444265,0.00597551,0.0638318
6.38E+000,4.89E+000,0.864868,0.00535356,0.201884
6.73E+000,4.60E+000,0.888628,0.0055163,0.202745
5.19E+000,4.79E+000,0.715961,0.00467028,0.166038
4.17E+000,4.39E+000,0.548693,0.00436052,0.123177
4.88E+000,1.88E+000,0.548022,0.00599115,0.0867015
5.81E+000,5.20E+000,0.821098,0.00499549,0.196221
3.56E+000,2.00E+000,0.380212,0.00543787,0.0601358
2.01E+000,2.38E+000,0.224484,0.00371717,0.0387185
3.71E+000,3.77E+000,0.461587,0.00408124,0.0971772
1.59E+000,5.36E+000,0.22686,0.0034927,0.0546232
7.74E+000,2.52E+000,0.894798,0.00802057,0.159765
1.88E+000,1.53E+000,0.209732,0.00418863,0.031095
3.28E+000,5.69E+000,0.489082,0.00400579,0.120467
7.83E+000,2.23E+000,0.894583,0.00841351,0.152001
6.03E+000,1.36E+000,0.662026,0.0059983,0.0940703
2.14E+000,1.16E+000,0.231075,0.00438567,0.0301151
7.39E+000,1.62E+000,0.821169,0.0104971,0.122461
4.83E+000,2.56E+000,0.56422,0.00497418,0.101825
2.87E+000,3.63E+000,0.332118,0.00466696,0.0684656
1.15E+000,2.68E+000,0.133462,0.00361322,0.0246652
1.39E+000,4.17E+000,0.179275,0.00372934,0.0395262
1.76E+000,3.74E+000,0.211937,0.00352874,0.0443347
6.82E+000,5.22E+000,0.949148,0.00595308,0.226929
7.57E+000,1.06E+000,0.817644,0.0090214,0.108385
