dv1,dv2,of1,of2,nlc
0.0068443175,13.7001701974,0.2945818870,0.2947290540,0.0006720706
0.0223451620,7.3901501612,0.5187864551,0.5203550720,0.0038641048
0.0276969094,12.5756857789,1.0942433443,1.0966533190,0.0101023618
0.0320394011,18.4866870281,1.8607756046,1.8640005224,0.0198726822
0.0441388460,11.7438461500,1.6284868942,1.6346074635,0.0239596749
0.0492737908,6.3434699487,0.9819872215,0.9896147146,0.0161282578
0.0505489344,7.1906163763,1.1419280157,1.1499553968,0.0192406060
0.0555292610,14.0185345402,2.4455570016,2.4552440989,0.0452663026
0.0628148625,10.5933336404,2.0905115522,2.1029073562,0.0437709624
0.0659234356,6.2451281148,1.2934667009,1.3071197464,0.0284216728
0.0750997709,8.4645780588,1.9971509528,2.0148694587,0.0499932254
0.0769370143,2.7088414983,0.6550039119,0.6735999544,0.0167912439
0.0828352617,7.9060186296,2.0575329156,2.0790895210,0.0568089744
0.0834638533,8.9764644527,2.3538153539,2.3757003632,0.0654833358
0.0889485795,6.5266630643,1.8239814242,1.8488372334,0.0540751640
0.0995861646,8.0524401684,2.5194723444,2.5506287885,0.0836284674
0.1026698854,14.9162307451,4.8112988174,4.8444146766,0.1646545991
0.1028532628,2.6756725007,0.8652100017,0.8984442622,0.0296413323
0.1045521629,17.9078405061,5.8821150332,5.9164562686,0.2049924560
0.1130793663,2.8082941206,0.9984529857,1.0386243522,0.0376043374
0.1148794219,11.8423606324,4.2741605367,4.3156210195,0.1636633301
0.1163604064,5.8442023237,2.1368124735,2.1793488344,0.0828636997
0.1178201009,6.7173604605,2.4867647889,2.5303750466,0.0976486070
0.1202081750,7.1786770072,2.7113723911,2.7567684217,0.1086278137
0.1219030843,12.5745731837,4.8159084924,4.8625936963,0.1956821712
0.1406420116,14.3373322833,6.3351103919,6.3972516457,0.2969799348
0.1417815826,7.7240554838,3.4410281838,3.5041805332,0.1625974169
0.1505841548,8.4828149567,4.0136320776,4.0848695373,0.2014313962
0.1514472673,5.8867854373,2.8017746057,2.8738310381,0.1413935856
0.1590732253,1.5933592718,0.8002289788,0.8797247535,0.0422217766
0.1666113642,19.5413234921,10.2287897542,10.3159983138,0.5680568914
0.2006567457,13.9831606271,8.8156368943,8.9421272464,0.5895783038
0.2025378962,6.9742830689,4.4395483886,4.5684215439,0.2995992884
0.2105107020,8.8471886277,5.8526458308,5.9918647416,0.4105653214
0.2118387680,8.6098517611,5.7316861669,5.8726672221,0.4046086619
0.2137807897,18.6323225678,12.5145180315,12.6580958091,0.8917291555
0.2218542948,16.4641035704,11.4761238838,11.6307509634,0.8485987510
0.2391016298,11.5926476808,8.7097843374,8.8893878994,0.6940269389
0.2420264577,12.5717303588,9.5606680638,9.7446925279,0.7711686473
0.2450972704,11.9930980969,9.2365631999,9.4252870647,0.7544612747
0.2722814308,12.8371328920,10.9833191366,11.2162279490,0.9966271253
0.2943987960,1.2934697146,1.2269008944,1.4991847751,0.1173969845
0.3003683175,6.9690577905,6.5823514442,6.8657894714,0.6584319972
0.3048880865,17.2338223165,16.5097269506,16.8017591788,1.6776105103
0.3134970788,19.5415588094,19.2485692468,19.5573262872,2.0111979542
0.3135567253,9.1163911434,8.9855709491,9.2944454901,0.9386070433
0.3200417433,14.9555564741,15.0403691153,15.3621521383,1.6041480576
0.3254632840,10.7146430717,10.9604868940,11.2932643344,1.1885304990
0.3431013833,14.0046537919,15.0999327412,15.4697565021,1.7264179120
0.3572719220,1.7420458895,1.9959740980,2.3969771198,0.2328552220
0.3578183615,16.8596108243,18.9564857669,19.3587163775,2.2604838517
0.3977429030,9.5502736743,11.9438528347,12.4408509607,1.5821560397
0.3979292002,16.8447135747,21.0639813079,21.5614451167,2.7932117906
0.4048193108,16.8103740443,21.3852515063,21.9000915459,2.8848845465
0.4074055890,3.7673120591,4.8499046254,5.3713440187,0.6548083048
0.4141033396,9.3758755687,12.2093802711,12.7481055301,1.6836736648
0.4155163096,16.6586253963,21.7526497510,22.2950576720,3.0119234555
0.4198030431,18.6582258896,24.6136318799,25.1672891888,3.4434210451
